,timestamp,location,track,week,pacing,rating
0,6/24/2016 7:03:34,NY,Games,1,5,6
1,6/24/2016 7:10:22,NY,Games,1,3,6
2,6/24/2016 7:03:41,NY,Apps,1,3,6
3,6/24/2016 7:04:59,NY,Intro,1,3,8
4,6/24/2016 7:07:02,NY,Intro,1,4,8
5,6/24/2016 7:08:41,NY,Intro,1,4,8
6,6/24/2016 7:09:30,NY,Intro,1,4,8
7,6/24/2016 7:01:03,NY,Games,1,4,8
8,6/24/2016 7:02:43,NY,Games,1,4,8
9,6/24/2016 7:03:48,NY,Games,1,3,8
10,6/24/2016 7:06:04,NY,Games,1,3,8
11,6/24/2016 7:06:24,NY,Games,1,4,8
12,6/24/2016 7:01:19,NY,Apps,1,4,8
13,6/24/2016 7:01:29,NY,Apps,1,4,8
14,6/24/2016 7:02:20,NY,Apps,1,4,8
15,6/24/2016 7:03:24,NY,Apps,1,3,8
16,6/24/2016 7:03:25,NY,Apps,1,4,8
17,6/24/2016 7:03:58,NY,Apps,1,2,8
18,6/24/2016 7:06:59,NY,Apps,1,3,8
19,6/24/2016 7:07:06,NY,Apps,1,4,8
20,6/24/2016 7:08:37,NY,Apps,1,4,8
21,6/24/2016 7:08:51,NY,Apps,1,3,8
22,6/24/2016 7:01:55,NY,Intro,1,3,10
23,6/24/2016 7:03:41,NY,Intro,1,3,10
24,6/24/2016 7:06:21,NY,Intro,1,4,10
25,6/24/2016 7:07:00,NY,Intro,1,4,10
26,6/24/2016 7:04:34,NY,Games,1,3,10
27,6/24/2016 7:08:15,NY,Games,1,3,10
28,6/24/2016 7:12:49,NY,Games,1,4,10
29,6/24/2016 7:03:41,NY,Apps,1,3,10
30,6/24/2016 7:03:58,NY,Apps,1,4,10
31,6/24/2016 7:04:09,NY,Apps,1,3,10
32,6/24/2016 7:04:11,NY,Apps,1,3,10
33,6/24/2016 7:05:51,NY,Apps,1,4,10
34,6/24/2016 7:06:58,NY,Apps,1,4,10
35,6/24/2016 7:07:26,NY,Apps,1,3,10
36,6/24/2016 7:08:43,NY,Apps,1,3,10
37,6/24/2016 7:18:32,NY,Apps,1,4,10
38,6/24/2016 8:22:55,NY,Apps,1,3,10
0,6/24/2016 7:03:34,,Games,,5,6
1,6/24/2016 7:10:22,,Games,,3,6
2,6/24/2016 7:03:41,,Apps,,3,6
3,6/24/2016 7:04:59,,Intro,,3,8
4,6/24/2016 7:07:02,,Intro,,4,8
5,6/24/2016 7:08:41,,Intro,,4,8
6,6/24/2016 7:09:30,,Intro,,4,8
7,6/24/2016 7:01:03,,Games,,4,8
8,6/24/2016 7:02:43,,Games,,4,8
9,6/24/2016 7:03:48,,Games,,3,8
10,6/24/2016 7:06:04,,Games,,3,8
11,6/24/2016 7:06:24,,Games,,4,8
12,6/24/2016 7:01:19,,Apps,,4,8
13,6/24/2016 7:01:29,,Apps,,4,8
14,6/24/2016 7:02:20,,Apps,,4,8
15,6/24/2016 7:03:24,,Apps,,3,8
16,6/24/2016 7:03:25,,Apps,,4,8
17,6/24/2016 7:03:58,,Apps,,2,8
18,6/24/2016 7:06:59,,Apps,,3,8
19,6/24/2016 7:07:06,,Apps,,4,8
20,6/24/2016 7:08:37,,Apps,,4,8
21,6/24/2016 7:08:51,,Apps,,3,8
22,6/24/2016 7:01:55,,Intro,,3,10
23,6/24/2016 7:03:41,,Intro,,3,10
24,6/24/2016 7:06:21,,Intro,,4,10
25,6/24/2016 7:07:00,,Intro,,4,10
26,6/24/2016 7:04:34,,Games,,3,10
27,6/24/2016 7:08:15,,Games,,3,10
28,6/24/2016 7:12:49,,Games,,4,10
29,6/24/2016 7:03:41,,Apps,,3,10
30,6/24/2016 7:03:58,,Apps,,4,10
31,6/24/2016 7:04:09,,Apps,,3,10
32,6/24/2016 7:04:11,,Apps,,3,10
33,6/24/2016 7:05:51,,Apps,,4,10
34,6/24/2016 7:06:58,,Apps,,4,10
35,6/24/2016 7:07:26,,Apps,,3,10
36,6/24/2016 7:08:43,,Apps,,3,10
37,6/24/2016 7:18:32,,Apps,,4,10
38,6/24/2016 8:22:55,,Apps,,3,10
0,8/5/2016 11:13:01,,Apps,,5,10
1,8/5/2016 11:17:11,,Apps,,3,6
2,8/5/2016 11:17:52,,Apps,,3,10
3,8/5/2016 11:18:01,,Apps,,4,10
4,8/5/2016 11:20:15,,Apps,,3,8
5,8/5/2016 11:21:10,,Apps,,3,10
6,8/5/2016 12:11:04,,Apps,,3,10
7,8/5/2016 19:14:21,,Apps,,4,8
8,8/5/2016 11:39:18,,Games,,3,10
9,8/5/2016 12:27:18,,Games,,4,10
10,8/5/2016 11:20:43,,Intro,,3,8
11,8/5/2016 11:38:52,,Intro,,4,8
12,8/5/2016 11:56:23,,Intro,,3,10
13,8/5/2016 12:35:08,,Intro,,3,10
14,8/7/2016 10:45:47,,Intro,,5,8
15,8/5/2016 11:21:38,,VR,,3,10
16,8/8/2016 8:35:18,,VR,,3,2
17,8/8/2016 8:39:01,,VR,,5,6
18,8/8/2016 9:41:39,,VR,,2,4
0,7/15/2016 13:20:35,,,,3,10
1,7/15/2016 13:22:22,,,,3,10
2,7/15/2016 14:35:15,,,,3,10
3,7/15/2016 15:05:10,,,,4,10
4,7/15/2016 15:12:36,,,,3,6
5,7/15/2016 16:59:37,,,,3,8
6,7/15/2016 17:10:52,,,,3,8
7,7/15/2016 19:32:26,,,,3,8
0,7/1/2016 13:27:56,,Apps,,4,6
1,7/1/2016 13:29:33,,Apps,,5,6
2,7/1/2016 13:29:43,,Apps,,3,6
3,7/1/2016 13:30:28,,Apps,,4,6
4,7/1/2016 13:34:11,,Apps,,3,6
5,7/1/2016 13:35:20,,Apps,,3,6
