UID,timestamp,track,rating,paceing,week,location
1,9/7/16 1:03,summerApps,10,,8,New York
2,9/7/16 1:03,summerIntro,10,,8,San Francisco
3,9/7/16 1:03,summerIntro,10,,8,New York
4,9/7/16 1:04,summerApps (4-week),9,,8,Sunnyvale
5,9/7/16 1:04,summerIntro,3,,8,San Francisco
6,9/7/16 1:09,summerApps,10,,8,San Francisco
7,9/7/16 1:04,summerApps,8,,8,San Francisco
8,9/7/16 1:14,summerGames,3,,8,New York
9,9/7/16 1:16,summerApps,6,,8,Singapore
10,9/7/16 1:22,summerGames,9,,8,New York
11,9/7/16 1:28,summerGames,10,,8,Sunnyvale
12,9/7/16 1:22,summerVR,10,,8,San Francisco
13,9/7/16 1:30,summerIntro,8,,8,San Francisco
14,9/7/16 1:47,summerApps,8,,8,Sunnyvale
15,9/7/16 1:34,summerGames,8,,8,Los Angeles
16,9/7/16 2:28,summerApps,10,,8,San Francisco
17,9/7/16 2:39,summerGames,9,,8,Sunnyvale
18,9/7/16 2:39,summerGames,10,,8,New York
19,9/7/16 2:47,summerApps,7,,8,Singapore
20,9/7/16 2:56,summerIntro,10,,8,San Francisco
21,9/7/16 2:58,summerApps,10,,8,San Francisco
22,9/7/16 2:59,summerGames,10,,8,Sunnyvale
23,9/7/16 3:05,summerIntro,4,,8,New York
24,9/7/16 3:22,summerGames,9,,8,San Francisco
25,9/7/16 3:15,summerGames,10,,8,Sunnyvale
26,9/7/16 3:41,summerApps,9,,8,Sunnyvale
27,9/7/16 4:04,summerIntro,10,,8,San Francisco
28,9/7/16 4:07,summerApps,10,,8,Sunnyvale
29,9/7/16 4:20,summerGames,7,,8,Sunnyvale
30,9/7/16 5:41,summerGames,10,,8,San Francisco
31,9/7/16 6:30,summerApps,9,,8,Sunnyvale
32,9/7/16 7:55,summerApps,8,,8,Sunnyvale
33,9/7/16 10:52,summerGames,5,,8,Sunnyvale
34,9/7/16 11:47,summerApps,8,,8,Singapore
35,9/7/16 9:16,summerApps,9,,8,Singapore
36,9/7/16 12:26,summerApps,9,,8,Singapore
37,9/7/16 12:45,summerApps,10,,8,San Francisco
38,9/7/16 13:09,summerIntro,10,,8,New York
39,9/7/16 14:39,summerApps (4-week),9,,8,San Francisco
40,9/7/16 14:52,summerApps,10,,8,New York
41,9/7/16 15:57,summerApps,8,,8,Sunnyvale
42,9/7/16 17:11,summerApps,10,,8,San Francisco
43,9/7/16 19:13,summerVR,9,,8,San Francisco
44,9/7/16 19:23,summerApps (4-week),7,,8,New York
45,9/7/16 19:39,summerApps,10,,8,San Francisco
46,9/7/16 19:51,summerGames,10,,8,Los Angeles
47,9/7/16 23:58,summerIntro,10,,8,Sunnyvale
48,9/8/16 0:50,summerApps,8,,8,New York
49,9/8/16 1:55,summerGames,10,,8,San Francisco
50,9/8/16 5:59,summerApps,7,,8,Sunnyvale
51,9/8/16 14:25,summerGames (4-week),10,,8,Los Angeles
52,9/8/16 22:00,summerGames,8,,8,San Francisco
53,9/8/16 22:16,summerApps,8,,8,New York
54,9/8/16 23:06,summerApps,10,,8,San Francisco
55,9/8/16 23:01,summerApps,7,,8,San Francisco
56,9/9/16 1:41,summerIntro,7,,8,San Francisco
57,9/9/16 4:22,summerIntro,10,,8,San Francisco
58,9/9/16 11:06,summerApps,9,,8,San Francisco
59,9/9/16 13:24,summerGames,10,,8,New York
60,9/10/16 22:28,summerGames,8,,8,San Francisco
61,9/12/16 0:05,summerApps,9,,8,San Francisco
62,9/13/16 4:36,summerVR,5,,8,San Francisco
63,9/7/16 5:08,summerGames (4-week),10,,8,San Francisco
64,9/14/16 12:04,summerIntro,9,,8,San Francisco
65,9/26/16 16:33,summerGames,9,,8,Sunnyvale
